board,measurement_type,channel,mean,std,err_mean,err_std,n_points
acq_MainBoard_20251127_175303,pulse,03,850.9,40.0,1.0,0.0,1946.0
acq_MainBoard_20251127_175303,pulse,04,1044.7,6.0,0.3,0.0,261.0
acq_MainBoard_20251127_175303,pulse,05,1078.45,1.0,0.07,0.0,261.0
acq_MainBoard_20251127_175303,pulse,06,1000.46,1.0,0.09,0.0,264.0
acq_MainBoard_20251127_175303,pulse,07,1009.0,3.0,0.2,0.0,263.0
acq_MainBoard_20251127_175303,pulse,08,1058.9,2.0,0.1,0.0,260.0
acq_MainBoard_20251127_175303,pulse,09,969.3,3.0,0.2,0.0,264.0
acq_MainBoard_20251127_175303,pulse,10,959.5,3.0,0.2,0.0,261.0
acq_MainBoard_20251127_175303,pulse,11,1009.7,2.0,0.1,0.0,264.0
acq_MainBoard_20251127_175303,pulse,12,1033.4,2.0,0.1,0.0,265.0
acq_MainBoard_20251127_175303,pulse,13,,,,,
acq_MainBoard_20251127_175303,pulse,14,1055.9,2.0,0.2,0.0,257.0
acq_MainBoard_20251127_175303,pulse,15,1014.8,1.0,0.09,0.0,266.0
acq_MainBoard_20251127_175303,pulse,16,1028.4,2.0,0.2,0.0,265.0
acq_MainBoard_20251127_175303,pulse,17,989.1,2.0,0.2,0.0,262.0
acq_MainBoard_20251127_175303,pulse,18,996.4,2.0,0.2,0.0,260.0
acq_MainBoard_20251127_175303,pulse,19,1024.9,2.0,0.1,0.0,258.0
acq_MainBoard_20251127_184405,pedestal,01,264.24532224532226,0.43553600849024493,0.019858732621019105,0.0,481.0
acq_MainBoard_20251127_184405,pedestal,02,263.14137214137213,2.6623872019872725,0.12139440722975868,0.0,481.0
acq_MainBoard_20251127_184405,pedestal,03,262.88189128960374,4.3466630555890635,0.01913419011228927,0.0,51605.0
acq_MainBoard_20251127_184405,pedestal,04,261.07068607068607,0.36967517722960064,0.01685573720225458,0.0,481.0
acq_MainBoard_20251127_184405,pedestal,05,256.2291666666667,0.4207351818541278,0.019203845819795336,0.0,480.0
acq_MainBoard_20251127_184405,pedestal,06,254.51659751037346,0.5737994244100009,0.026135847604123963,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,07,261.36721991701245,0.5036293944167429,0.0229396903194311,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,08,253.6078838174274,0.5054588526816124,0.023023019859989453,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,09,256.7080745341615,0.5027693211441561,0.022876796234842595,0.0,483.0
acq_MainBoard_20251127_184405,pedestal,10,254.3340206185567,0.8975272041663276,0.04075461095204854,0.0,485.0
acq_MainBoard_20251127_184405,pedestal,11,270.0557851239669,0.45840167377469976,0.020836439717031807,0.0,484.0
acq_MainBoard_20251127_184405,pedestal,12,268.6804979253112,0.48853099944397,0.022251977273219845,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,13,251.75876288659794,0.4696914270414976,0.02132758905549715,0.0,485.0
acq_MainBoard_20251127_184405,pedestal,14,258.8677685950413,0.43055453213274963,0.01957066055148862,0.0,484.0
acq_MainBoard_20251127_184405,pedestal,15,259.8755186721992,0.4338368211488184,0.019760725717461135,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,16,254.88174273858922,0.6222809228833746,0.028344119348248736,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,17,259.2240663900415,0.5763907160403097,0.02625387770360904,0.0,482.0
acq_MainBoard_20251127_184405,pedestal,18,263.202479338843,0.5110720774110955,0.023230548973231614,0.0,484.0
acq_MainBoard_20251127_184405,pedestal,19,264.8941908713693,0.42186531247633624,0.019215438439459488,0.0,482.0
acq_MainBoard_20251127_184405,pulse,01,1054.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,02,1039.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,03,836.6910530670134,36.61510302900601,0.3980608013691619,0.0,8461.0
acq_MainBoard_20251127_184405,pulse,04,1043.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,05,1076.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,06,998.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,07,1007.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,08,1056.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,09,967.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,10,959.0,0.0,0.0,0.0,2.0
acq_MainBoard_20251127_184405,pulse,11,1009.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,12,1031.3333333333333,0.5773502691896258,0.33333333333333337,0.0,3.0
acq_MainBoard_20251127_184405,pulse,13,,,,,
acq_MainBoard_20251127_184405,pulse,14,1053.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,15,1013.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,16,1026.6666666666667,0.5773502691896258,0.33333333333333337,0.0,3.0
acq_MainBoard_20251127_184405,pulse,17,987.0,0.0,0.0,0.0,3.0
acq_MainBoard_20251127_184405,pulse,18,996.0,,,0.0,1.0
acq_MainBoard_20251127_184405,pulse,19,1022.0,0.0,0.0,0.0,3.0
