event_type,channel,status,length,adc,pmt_time,time_coarse,time_fine,tdc_coarse,tdc_start,tdc_stop,crc
0,17,4,0,978,2051364672829,7641,249353533,12,10,6,8
0,0,4,0,1024,2051364694255,7641,249374959,12,11,8,15
0,2,4,0,969,2051364766573,7641,249447277,12,3,2,6
0,11,4,0,1003,2051364913989,7641,249594693,11,4,14,13
0,8,4,0,966,2051364918339,7641,249599043,12,12,13,14
0,16,4,0,951,2051365004624,7641,249685328,12,10,7,7
0,14,4,0,969,2051365086822,7641,249767526,12,14,6,6
0,18,4,0,986,2051365323676,7641,250004380,12,7,2,3
0,12,4,0,976,2051365469389,7641,250150093,12,2,0,7
0,3,4,0,987,2051365586542,7641,250267246,12,8,6,4
0,5,4,0,991,2051365859053,7641,250539757,12,14,10,6
0,4,4,0,1024,2051365905737,7641,250586441,12,9,5,9
0,6,4,0,976,2051366229817,7641,250910521,12,7,8,7
0,7,4,0,970,2051366252458,7641,250933162,12,7,2,8
0,15,4,0,976,2051366362913,7641,251043617,12,13,12,12
0,10,4,0,967,2051366367629,7641,251048333,11,0,11,4
0,1,4,0,1036,2051366927475,7641,251608179,12,10,5,2
0,9,4,0,986,2051366951385,7641,251632089,12,13,7,15
0,13,4,0,1024,2051367016614,7641,251697318,11,0,7,9
0,17,4,0,978,2051367281258,7641,251961962,12,4,1,1
0,0,4,0,1024,2051367292970,7641,251973674,12,15,13,0
0,2,4,0,970,2051367366629,7641,252047333,12,14,12,13
0,11,4,0,1003,2051367522075,7641,252202779,12,5,0,10
0,8,4,0,965,2051367524777,7641,252205481,12,5,5,8
0,16,4,0,951,2051367619126,7641,252299830,12,13,9,2
0,14,4,0,969,2051367692208,7641,252372912,11,4,11,3
0,18,4,0,985,2051367926559,7641,252607263,11,0,11,10
0,12,4,0,975,2051368072372,7641,252753076,12,6,4,2
0,0,4,0,258,2051368076242,7641,252756946,2,12,14,3
0,1,4,0,259,2051368076242,7641,252756946,2,9,10,8
0,2,4,0,258,2051368076242,7641,252756946,2,11,12,2
0,3,4,0,258,2051368076242,7641,252756946,2,8,9,10
0,4,4,0,257,2051368076242,7641,252756946,2,5,5,6
0,5,4,0,259,2051368076242,7641,252756946,2,8,9,2
0,6,4,0,259,2051368076242,7641,252756946,2,9,11,4
0,7,4,0,257,2051368076242,7641,252756946,2,11,12,4
0,8,4,0,258,2051368076242,7641,252756946,2,10,11,7
0,9,4,0,259,2051368076242,7641,252756946,3,14,0,10
0,10,4,0,258,2051368076242,7641,252756946,2,9,10,7
0,11,4,0,258,2051368076242,7641,252756946,2,11,13,5
0,12,4,0,259,2051368076242,7641,252756946,2,9,10,15
0,13,4,0,258,2051368076242,7641,252756946,2,10,12,5
0,14,4,0,257,2051368076242,7641,252756946,2,10,11,13
0,15,4,0,259,2051368076242,7641,252756946,2,12,13,14
0,16,4,0,258,2051368076242,7641,252756946,2,9,10,9
0,17,4,0,257,2051368076242,7641,252756946,2,8,10,6
0,18,4,0,258,2051368076242,7641,252756946,2,7,8,4
0,3,4,0,986,2051368187208,7641,252867912,12,7,6,5
0,5,4,0,990,2051368452102,7641,253132806,12,4,0,10
0,4,4,0,1024,2051368513071,7641,253193775,12,14,10,15
0,6,4,0,976,2051368828828,7641,253509532,12,4,5,6
0,7,4,0,969,2051368863383,7641,253544087,12,13,8,0
0,15,4,0,976,2051368959113,7641,253639817,12,11,11,14
0,10,4,0,967,2051368970524,7641,253651228,12,9,5,4
0,1,4,0,1036,2051369521823,7641,254202527,12,5,1,7
0,9,4,0,986,2051369551168,7641,254231872,11,0,9,13
0,13,4,0,1024,2051369623209,7641,254303913,11,5,13,3
0,17,4,0,978,2051369890201,7641,254570905,11,2,14,11
0,0,4,0,1024,2051369892053,7641,254572757,12,11,8,6
0,2,4,0,968,2051369966355,7641,254647059,12,9,7,15
0,11,4,0,1003,2051370131106,7641,254811810,12,9,3,11
0,8,4,0,964,2051370131201,7641,254811905,12,14,14,8
0,16,4,0,951,2051370233913,7641,254914617,11,1,13,1
0,14,4,0,969,2051370299728,7641,254980432,11,7,14,6
0,18,4,0,984,2051370530051,7641,255210755,12,10,6,8
0,12,4,0,977,2051370675263,7641,255355967,12,6,3,9
0,3,4,0,987,2051370788930,7641,255469634,12,2,1,13
0,5,4,0,989,2051371045627,7641,255726331,12,8,5,6
0,4,4,0,1025,2051371117998,7641,255798702,11,1,12,2
0,6,4,0,976,2051371428143,7641,256108847,12,0,2,10
0,7,4,0,969,2051371474364,7641,256155068,12,10,5,6
0,15,4,0,981,2051371555155,7641,256235859,12,11,9,7
0,10,4,0,970,2051371573780,7641,256254484,11,1,11,4
0,1,4,0,1036,2051372115654,7641,256796358,12,4,0,15
0,9,4,0,986,2051372150939,7641,256831643,11,2,11,0
0,13,4,0,1023,2051372231028,7641,256911732,11,2,10,7
0,0,4,0,1023,2051372490637,7641,257171341,12,10,7,15
0,17,4,0,977,2051372498912,7641,257179616,12,4,0,15
0,2,4,0,969,2051372566842,7641,257247546,12,13,12,15
0,11,4,0,1003,2051372737523,7641,257418227,12,9,4,8
0,8,4,0,966,2051372737812,7641,257418516,12,6,6,9
0,16,4,0,951,2051372848504,7641,257529208,11,0,12,4
0,14,4,0,969,2051372905259,7641,257585963,11,7,14,15
0,0,4,0,258,2051373075939,7641,257756643,2,12,14,5
0,1,4,0,259,2051373075939,7641,257756643,2,9,10,14
0,2,4,0,257,2051373075939,7641,257756643,2,11,12,7
0,3,4,0,258,2051373075939,7641,257756643,2,8,9,12
0,4,4,0,257,2051373075939,7641,257756643,2,5,5,0
0,5,4,0,259,2051373075939,7641,257756643,2,8,9,4
0,6,4,0,259,2051373075939,7641,257756643,2,10,11,11
0,7,4,0,257,2051373075939,7641,257756643,2,11,12,2
0,8,4,0,258,2051373075939,7641,257756643,2,10,12,6
0,9,4,0,260,2051373075939,7641,257756643,3,14,0,11
0,10,4,0,258,2051373075939,7641,257756643,2,9,10,1
0,11,4,0,258,2051373075939,7641,257756643,2,11,13,3
0,12,4,0,259,2051373075939,7641,257756643,2,9,10,9
0,13,4,0,260,2051373075939,7641,257756643,2,10,12,5
0,14,4,0,257,2051373075939,7641,257756643,2,10,11,11
0,15,4,0,259,2051373075939,7641,257756643,2,12,13,8
0,16,4,0,257,2051373075939,7641,257756643,2,9,10,12
0,17,4,0,258,2051373075939,7641,257756643,2,8,10,3
0,18,4,0,257,2051373075939,7641,257756643,2,7,8,1
0,18,4,0,986,2051373132365,7641,257813069,12,8,3,4
0,12,4,0,977,2051373278226,7641,257958930,11,0,13,1
0,3,4,0,987,2051373390214,7641,258070918,12,13,10,2
0,5,4,0,990,2051373639438,7641,258320142,12,3,0,7
0,4,4,0,1025,2051373723585,7641,258404289,12,14,9,8
0,6,4,0,976,2051374027167,7641,258707871,12,11,12,14
0,7,4,0,970,2051374085257,7641,258765961,11,0,9,3
0,15,4,0,976,2051374151707,7641,258832411,12,1,0,5
0,10,4,0,968,2051374177077,7641,258857781,12,6,2,15
0,1,4,0,1037,2051374709477,7641,259390181,12,13,9,13
0,9,4,0,987,2051374750795,7641,259431499,12,10,4,1
0,13,4,0,1024,2051374838685,7641,259519389,11,0,8,12
0,0,4,0,1025,2051375089524,7641,259770228,12,11,8,9
0,17,4,0,977,2051375107531,7641,259788235,12,5,2,4
0,2,4,0,970,2051375167002,7641,259847706,12,14,12,4
0,8,4,0,965,2051375344563,7641,260025267,12,10,10,14
0,11,4,0,1003,2051375345723,7641,260026427,12,6,0,7
0,16,4,0,950,2051375463298,7641,260144002,12,11,8,14
0,14,4,0,969,2051375511457,7641,260192161,12,8,0,2
0,18,4,0,985,2051375734013,7641,260414717,12,9,4,7
0,12,4,0,976,2051375881280,7641,260561984,12,9,7,7
0,3,4,0,988,2051375991853,7641,260672557,12,2,1,5
0,5,4,0,989,2051376232805,7641,260913509,12,3,0,8
0,4,4,0,1025,2051376329569,7641,261010273,12,7,2,10
0,6,4,0,975,2051376625385,7641,261306089,12,0,2,14
0,7,4,0,969,2051376695917,7641,261376621,12,5,0,1
0,15,4,0,975,2051376747730,7641,261428434,12,6,6,7
0,10,4,0,968,2051376781281,7641,261461985,12,7,3,0
0,1,4,0,1036,2051377303156,7641,261983860,12,10,6,9
0,9,4,0,987,2051377350061,7641,262030765,11,3,13,12
0,13,4,0,1024,2051377446350,7641,262127054,11,3,10,13
0,0,4,0,1024,2051377688727,7641,262369431,12,14,11,6
0,17,4,0,977,2051377715989,7641,262396693,12,6,3,9
0,2,4,0,969,2051377765853,7641,262446557,12,7,5,11
0,8,4,0,966,2051377951250,7641,262631954,12,7,8,1
0,11,4,0,1003,2051377953572,7641,262634276,12,7,1,13
0,0,4,0,258,2051378075636,7641,262756340,2,13,14,6
0,1,4,0,258,2051378075636,7641,262756340,2,9,10,4
0,2,4,0,258,2051378075636,7641,262756340,2,11,12,15
0,3,4,0,257,2051378075636,7641,262756340,2,8,9,4
0,4,4,0,258,2051378075636,7641,262756340,2,5,6,11
0,5,4,0,258,2051378075636,7641,262756340,2,8,9,14
0,6,4,0,259,2051378075636,7641,262756340,2,10,11,0
0,7,4,0,258,2051378075636,7641,262756340,2,11,13,11
0,8,4,0,257,2051378075636,7641,262756340,2,11,12,6
0,9,4,0,260,2051378075636,7641,262756340,3,14,1,1
0,10,4,0,258,2051378075636,7641,262756340,2,9,10,10
0,11,4,0,258,2051378075636,7641,262756340,2,11,13,8
0,12,4,0,260,2051378075636,7641,262756340,2,9,10,5
0,13,4,0,259,2051378075636,7641,262756340,2,10,12,9
0,14,4,0,257,2051378075636,7641,262756340,2,10,12,7
0,15,4,0,259,2051378075636,7641,262756340,2,12,14,0
0,16,4,0,257,2051378075636,7641,262756340,2,9,10,7
0,17,4,0,257,2051378075636,7641,262756340,2,9,10,3
0,18,4,0,258,2051378075636,7641,262756340,2,7,8,9
0,16,4,0,951,2051378078053,7641,262758757,11,2,14,6
0,14,4,0,968,2051378117233,7641,262797937,11,1,8,0
0,18,4,0,985,2051378335402,7641,263016106,11,1,11,5
0,12,4,0,976,2051378484401,7641,263165105,12,11,8,13
0,3,4,0,988,2051378593205,7641,263273909,12,15,13,8
0,5,4,0,991,2051378825472,7641,263506176,12,10,6,6
0,4,4,0,1025,2051378936025,7641,263616729,12,7,3,11
0,6,4,0,976,2051379223802,7641,263904506,12,2,4,6
0,7,4,0,968,2051379306827,7641,263987531,11,1,12,0
0,15,4,0,976,2051379343646,7641,264024350,12,4,3,0
0,10,4,0,968,2051379385231,7641,264065935,12,5,1,3
0,1,4,0,1037,2051379896199,7641,264576903,12,12,8,9
0,9,4,0,986,2051379949753,7641,264630457,11,4,13,3
0,13,4,0,1023,2051380054913,7641,264735617,11,2,9,13
0,5,4,0,990,2051380121875,7641,264802579,12,12,8,2
0,0,4,0,1024,2051380288029,7641,264968733,12,12,9,15
0,17,4,0,978,2051380324442,7641,265005146,12,7,3,0
0,2,4,0,970,2051380365136,7641,265045840,12,12,10,3
0,8,4,0,966,2051380558146,7641,265238850,12,9,8,14
0,11,4,0,1003,2051380561443,7641,265242147,12,14,8,9
0,16,4,0,950,2051380692295,7641,265372999,12,4,1,0
0,14,4,0,969,2051380722031,7641,265402735,12,14,5,15
0,18,4,0,985,2051380936541,7641,265617245,12,4,0,10
0,12,4,0,976,2051381088266,7641,265768970,12,14,12,13
0,3,4,0,988,2051381194659,7641,265875363,12,9,7,15
0,4,4,0,1025,2051381543044,7641,266223748,12,4,0,5
0,6,4,0,976,2051381822271,7641,266502975,12,9,10,7
0,7,4,0,969,2051381917271,7641,266597975,12,11,5,1
0,15,4,0,976,2051381939453,7641,266620157,12,10,9,12
0,10,4,0,968,2051381988289,7641,266668993,12,5,1,3
0,1,4,0,1037,2051382489260,7641,267169964,12,10,6,0
0,9,4,0,986,2051382549865,7641,267230569,12,10,4,12
0,13,4,0,1024,2051382662700,7641,267343404,11,0,7,14
0,5,4,0,990,2051382714801,7641,267395505,12,10,7,5
0,0,4,0,1024,2051382887592,7641,267568296,11,1,13,12
0,17,4,0,977,2051382932952,7641,267613656,12,8,4,12
0,2,4,0,969,2051382963716,7641,267644420,12,14,13,11
0,0,4,0,258,2051383075333,7641,267756037,2,13,14,2
0,1,4,0,259,2051383075333,7641,267756037,2,10,11,9
0,2,4,0,258,2051383075333,7641,267756037,2,11,13,10
0,3,4,0,257,2051383075333,7641,267756037,2,9,10,11
0,4,4,0,258,2051383075333,7641,267756037,2,5,6,15
0,5,4,0,259,2051383075333,7641,267756037,2,9,10,0
0,6,4,0,259,2051383075333,7641,267756037,2,10,11,4
0,7,4,0,257,2051383075333,7641,267756037,2,12,13,7
0,8,4,0,257,2051383075333,7641,267756037,2,11,12,2
0,9,4,0,260,2051383075333,7641,267756037,3,14,1,5
0,10,4,0,258,2051383075333,7641,267756037,2,10,11,6
0,11,4,0,258,2051383075333,7641,267756037,2,12,14,4
0,12,4,0,259,2051383075333,7641,267756037,2,9,11,7
0,13,4,0,258,2051383075333,7641,267756037,2,11,12,4
0,14,4,0,257,2051383075333,7641,267756037,2,10,12,3
0,15,4,0,259,2051383075333,7641,267756037,2,12,14,4
0,16,4,0,258,2051383075333,7641,267756037,2,9,11,1
0,17,4,0,258,2051383075333,7641,267756037,2,9,10,4
0,18,4,0,257,2051383075333,7641,267756037,2,7,8,14
0,8,4,0,966,2051383165269,7641,267845973,12,8,8,15
0,11,4,0,1003,2051383169834,7641,267850538,11,4,13,5
0,16,4,0,950,2051383306614,7641,267987318,12,11,7,8
0,14,4,0,969,2051383327894,7641,268008598,11,6,13,11
0,18,4,0,985,2051383537333,7641,268218037,11,0,10,1
0,12,4,0,976,2051383691607,7641,268372311,12,8,6,3
0,3,4,0,987,2051383795881,7642,41129,12,3,1,0
0,1,4,0,1036,2051383943298,7642,188546,12,13,8,1
0,4,4,0,1024,2051384149667,7642,394915,11,4,14,5
0,6,4,0,976,2051384420278,7642,665526,12,11,13,14
0,7,4,0,969,2051384528196,7642,773444,12,15,10,12
